alg;func;bit;time
sha512;Proof of Work;256;0.04059576988220215
sha512;Hash value computing;256;2.8371810913085938e-05
sha512;Mining one block;256;0.04650402069091797
sha512;Proof of Work;256;0.08365416526794434
sha512;Hash value computing;256;3.266334533691406e-05
sha512;Mining one block;256;0.08969593048095703
sha512;Proof of Work;256;0.1623826026916504
sha512;Hash value computing;256;3.337860107421875e-05
sha512;Mining one block;256;0.16863632202148438
sha512;Proof of Work;256;0.3261127471923828
sha512;Hash value computing;256;3.170967102050781e-05
sha512;Mining one block;256;0.33243250846862793
sha512;Proof of Work;256;0.6783614158630371
sha512;Hash value computing;256;2.5033950805664062e-05
sha512;Mining one block;256;0.6840167045593262
sha512;Proof of Work;256;1.1708705425262451
sha512;Hash value computing;256;2.574920654296875e-05
sha512;Mining one block;256;1.1770617961883545
sha512;Proof of Work;256;1.8693978786468506
sha512;Hash value computing;256;2.3365020751953125e-05
sha512;Mining one block;256;1.8752877712249756
sha512;Proof of Work;256;3.2524302005767822
sha512;Hash value computing;256;2.4318695068359375e-05
sha512;Mining one block;256;3.2583975791931152
sha512;Proof of Work;256;6.1190571784973145
sha512;Hash value computing;256;2.574920654296875e-05
sha512;Mining one block;256;6.126154184341431
sha512;Proof of Work;256;11.762507200241089
sha512;Hash value computing;256;2.0503997802734375e-05
sha512;Mining one block;256;11.767792224884033
sha512;Proof of Work;256;23.304519414901733
sha512;Hash value computing;256;1.9311904907226562e-05
sha512;Mining one block;256;23.311110258102417
gost;Key pair generation;256;0.04117441177368164
gost;Key pair generation;256;0.040730953216552734
gost;Signing message;256;0.0864098072052002
gost;Verifying signature;256;0.1644001007080078
sha512;Proof of Work;256;46.62151861190796
sha512;Hash value computing;256;2.5033950805664062e-05
sha512;Mining one block;256;46.62841248512268
sha512;Proof of Work;256;95.0052216053009
sha512;Hash value computing;256;2.0503997802734375e-05
sha512;Mining one block;256;95.01101422309875
sha256;Hash value computing;256;2.5510787963867188e-05
sha256;Proof of Work;256;0.046694040298461914
sha256;Hash value computing;256;3.409385681152344e-05
sha256;Hash value computing;256;2.3365020751953125e-05
sha256;Proof of Work;256;0.044605255126953125
sha256;Hash value computing;256;4.100799560546875e-05
sha256;Mining one block;256;0.05458641052246094
sha256;Proof of Work;256;0.04220414161682129
sha256;Hash value computing;256;2.193450927734375e-05
sha256;Mining one block;256;0.04804491996765137
sha256;Proof of Work;256;0.08509516716003418
sha256;Hash value computing;256;1.811981201171875e-05
sha256;Mining one block;256;0.09079098701477051
sha256;Proof of Work;256;0.17198777198791504
sha256;Hash value computing;256;2.09808349609375e-05
sha256;Mining one block;256;0.17758584022521973
sha256;Proof of Work;256;0.34618043899536133
sha256;Hash value computing;256;1.8835067749023438e-05
sha256;Mining one block;256;0.3519012928009033
sha256;Proof of Work;256;0.6970820426940918
sha256;Hash value computing;256;1.7404556274414062e-05
sha256;Mining one block;256;0.7029814720153809
sha256;Proof of Work;256;1.199145793914795
sha256;Hash value computing;256;1.9073486328125e-05
sha256;Mining one block;256;1.2053463459014893
sha256;Proof of Work;256;1.903240442276001
sha256;Hash value computing;256;1.9311904907226562e-05
sha256;Mining one block;256;1.9141788482666016
sha256;Hash value computing;256;3.170967102050781e-05
sha256;Proof of Work;256;3.3088340759277344
sha256;Hash value computing;256;1.9073486328125e-05
sha256;Mining one block;256;3.314422130584717
sha256;Hash value computing;256;2.1696090698242188e-05
ecdsa;Key pair generation;256;0.07450675964355469
ecdsa;Key pair generation;256;0.0761411190032959
sha256;Proof of Work;256;6.308927536010742
sha256;Hash value computing;256;1.9311904907226562e-05
sha256;Mining one block;256;6.314272403717041
sha256;Proof of Work;256;11.914761304855347
sha256;Hash value computing;256;1.8596649169921875e-05
sha256;Mining one block;256;11.921146154403687
sha256;Hash value computing;256;2.9802322387695312e-05
sha256;Hash value computing;256;1.7881393432617188e-05
ecdsa;Key pair generation;256;0.07274580001831055
ecdsa;Key pair generation;256;0.07214760780334473
ecdsa;Signing message;256;0.09953641891479492
ecdsa;Verifying signature;256;0.07412004470825195
sha256;Hash value computing;256;3.218650817871094e-05
sha256;Hash value computing;256;2.002716064453125e-05
gost;Key pair generation;256;0.04191136360168457
gost;Key pair generation;256;0.041779279708862305
gost;Signing message;256;0.09158515930175781
sha256;Proof of Work;256;23.477769136428833
sha256;Hash value computing;256;2.4318695068359375e-05
sha256;Mining one block;256;23.483319520950317
sha256;Hash value computing;256;2.0265579223632812e-05
sha256;Proof of Work;256;0.04262137413024902
sha256;Hash value computing;256;3.981590270996094e-05
sha256;Mining one block;256;0.052462100982666016
sha256;Proof of Work;256;0.04878878593444824
sha256;Hash value computing;256;2.2172927856445312e-05
sha256;Mining one block;256;0.055579423904418945
sha256;Proof of Work;256;0.09418845176696777
